Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
0a9c22a2-4211-3aaf-8a6b-99f88b81fab6_8db0c518-62a3-32d0-814d-0c191cad8a03;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:2306;0:84:1440:2308;[-243882666, 1483507213];false;true;true;disabled;-484335249;825939435;false;false;false;false;ch.bailu.aat;85649997;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1];true
113590b3-07eb-3092-90a8-c3cfecf8042a_114ef410-c820-338c-a965-e84def5a3d1f;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:348;0:84:1440:350;[-715938392];false;true;true;disabled;1483507213;-697799512;false;false;false;false;ch.bailu.aat;-484335249;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1];true
1ad40f4a-bc29-3dc5-bacd-116bdb8566a9_7da8633b-e3ca-3e20-ac17-53370d85081b;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:2306;0:0:1440:2392;[85649997];false;true;true;disabled;1961655169;825939435;false;false;false;false;ch.bailu.aat;1785170555;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1];true
4b633395-79ae-304c-b8e3-0ce632be015b_5b8ef1cf-58ef-3fec-97df-a7059e01fdbf;android.widget.HorizontalScrollView;;;;0;disabled;false;0:85:1400:348;0:84:1400:350;[-1279771980];false;true;true;false;-715938392;418892572;false;false;false;false;ch.bailu.aat;1483507213;;false;disabled;[0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1];true
50acdfef-d0f5-3008-8296-d792a1ff1b25_6387bbd7-21d2-35dd-b777-d0677216b38c;android.view.View;;;;0;disabled;true;0:0:0:0;0:0:1440:84;[];false;false;true;disabled;-1615338229;0;false;false;false;false;ch.bailu.aat;1785170555;android:id/statusBarBackground;false;false;[];//android.widget.FrameLayout[1]/android.view.View[2];false
67cb2689-e671-30ba-935e-ff1011588c9f_5e7f145b-91fe-3157-920f-9c934ffc7352;android.widget.ImageButton;;;;0;disabled;true;350:85:349:348;350:84:350:350;[];true;true;true;false;951669033;-723426459;false;false;false;false;ch.bailu.aat;-1279771980;;false;false;[350:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1]/android.widget.LinearLayout[1]/android.widget.ImageButton[2];false
81cea8a0-35a5-303c-9b12-44c2f9095713_bceec028-066c-3e92-8b1e-86837e68bb79;android.widget.FrameLayout;;;;0;disabled;false;0:85:1440:2306;0:0:1440:2392;[-1615338229, 1961655169];false;true;true;disabled;1785170555;825939435;false;false;false;false;ch.bailu.aat;0;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1];true
930ee59e-d508-3488-8715-17b61b569462_6dafda05-d960-300a-8983-738b70835f95;android.widget.ImageButton;;;;0;disabled;false;0:85:349:348;0:84:350:350;[];false;true;true;false;484358802;622606202;false;false;false;false;ch.bailu.aat;2020180540;;false;disabled;[0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1]/android.widget.LinearLayout[1]/android.view.ViewGroup[1]/android.widget.ImageButton[1];false
ad54ac22-b067-3ee5-be0d-8af77bd8176a_1ebed19e-0051-3522-9b7f-dff8e8363fe1;android.widget.TextView;About<newline><newline>AAT - Android Activity Tracker is a GPS-tracking application for tracking sportive activities, with emphasis on cycling. It uses MapsForge to display map tiles and offline maps from the OpenStreetMap project.<newline><newline>Copyright<newline><newline>Map tiles<newline><newline>© OpenStreetMap, CC-BY-SA 2.0 <newline>© Waymarked Trails, CC BY-SA 3.0 DE<newline><newline>Mapsforge<newline><newline>© Mapsforge project <newline>license: GNU Lesser GPL v3<newline><newline>AAT<newline><newline>© 2011-2017 Lukas Bai bailu@bailu.ch <newline>license: GNU GPLv3 or later<newline><newline>Availability<newline><newline>Source: GitHub <newline>Binary: F-Droid;;;0;disabled;true;0:434:1440:1957;0:434:1440:1958;[];true;true;true;false;-994840928;-971219271;false;false;false;true;ch.bailu.aat;1071463289;;false;false;[0:434:1440:1957];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.view.ViewGroup[2]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.TextView[1];false
b69b4142-fcac-390d-9bbf-39f009a3be19_734381ba-f82b-30a3-942d-04e6ae482a7a;android.widget.ScrollView;;;;0;disabled;false;0:434:1440:1957;0:434:1440:1958;[1071463289];false;true;true;false;-737351293;-971219271;false;false;false;false;ch.bailu.aat;-243882666;;true;false;[0:434:1440:1957];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.view.ViewGroup[2]/android.widget.ScrollView[1];true
