Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
24a053e7-5713-3a6d-864a-173131843169_8bc42bf3-2685-39c0-993c-7ef247cfc58e;android.widget.LinearLayout;;;;0;disabled;false;714:420:686:224;714:420:686:224;[2012216769];true;true;true;disabled;-296005573;399989264;false;false;false;false;ch.bailu.aat;-1009851135;;false;false;[714:420:686:59, 714:480:55:103, 1345:480:55:103, 714:584:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1];true
2c82cfd7-fb55-3c92-b841-660cdc491985_2c747c39-c729-3a18-962e-20d06a5c6071;android.widget.RelativeLayout;;;;0;disabled;false;770:706:574:103;770:706:574:103;[-1437569338];false;true;true;disabled;-216151277;561220063;false;false;false;false;ch.bailu.aat;-171460158;;false;false;[770:706:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1];true
3905d791-7f2b-3429-890b-01cfb60d8f5b_bf831b4d-068f-3398-b047-683a7276a2ab;android.widget.TextView;README;;;0;disabled;true;770:706:574:103;770:706:574:103;[];false;true;true;disabled;-1437569338;561220063;false;false;false;false;ch.bailu.aat;-216151277;android:id/title;false;false;[770:706:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.TextView[1];false
46b3931b-9959-3927-9f4f-c65fdee94b07_e85f0b68-1e80-3552-98d3-c810474b0511;android.widget.TextView;About;;;0;disabled;true;770:480:574:103;770:480:574:103;[];false;true;true;disabled;-995814843;-710235632;false;false;false;false;ch.bailu.aat;-1997651212;android:id/title;false;false;[770:480:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.TextView[1];false
4b8d8a93-ec76-34a4-9fde-df11543b8b54_3b2a6bff-d533-3616-a3cf-bf9e936234a1;android.widget.FrameLayout;;;;0;disabled;false;700:399:714:492;700:399:714:492;[-1009851135];false;true;true;disabled;-1751316537;-659815122;false;false;false;false;ch.bailu.aat;1785170555;;false;disabled;[700:646:13:59, 1401:646:13:59, 700:706:13:103, 1401:706:13:103, 700:810:13:60, 1401:810:13:60, 700:871:714:20, 700:399:714:20, 700:420:13:59, 1401:420:13:59, 700:480:13:103, 1401:480:13:103, 700:584:13:60, 1401:584:13:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1];true
56451a35-9b7e-37b0-9d5d-c31e6eba1c1c_4d7dbe02-19e9-3335-a744-77cf98172345;android.widget.RelativeLayout;;;;0;disabled;false;770:480:574:103;770:480:574:103;[-995814843];false;true;true;disabled;-1997651212;-710235632;false;false;false;false;ch.bailu.aat;2012216769;;false;false;[770:480:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1];true
81cea8a0-35a5-303c-9b12-44c2f9095713_52961428-0960-32cd-989c-e18d8a46f320;android.widget.FrameLayout;;;;0;disabled;false;700:399:714:492;700:399:714:492;[-1751316537];false;true;true;disabled;1785170555;-659815122;false;false;false;false;ch.bailu.aat;0;;false;disabled;[700:646:13:59, 1401:646:13:59, 700:706:13:103, 1401:706:13:103, 700:810:13:60, 1401:810:13:60, 700:871:714:20, 700:399:714:20, 700:420:13:59, 1401:420:13:59, 700:480:13:103, 1401:480:13:103, 700:584:13:60, 1401:584:13:60];//android.widget.FrameLayout[1];true
c940d258-77fd-3d58-9c3d-06ab48a2f075_14e125bf-5e9e-3e55-87b6-71426a4befde;android.widget.LinearLayout;;;;0;disabled;false;714:646:686:224;714:646:686:224;[-171460158];true;true;true;disabled;-296005542;-1208670983;false;false;false;false;ch.bailu.aat;-1009851135;;false;false;[714:646:686:59, 714:706:55:103, 1345:706:55:103, 714:810:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2];true
da475231-58d7-3f1f-9bcc-3d3d1c96d1f1_77777977-9304-3e77-8004-0829474b78c2;android.widget.LinearLayout;;;;0;disabled;true;714:420:686:224;714:420:686:224;[-1997651212];false;true;true;disabled;2012216769;399989264;false;false;false;false;ch.bailu.aat;-296005573;android:id/content;false;false;[714:420:686:59, 714:480:55:103, 1345:480:55:103, 714:584:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1];true
da475231-58d7-3f1f-9bcc-3d3d1c96d1f1_b5d81d8e-caa9-35ff-9f1e-d1db408fda33;android.widget.LinearLayout;;;;0;disabled;true;714:646:686:224;714:646:686:224;[-216151277];false;true;true;disabled;-171460158;-1208670983;false;false;false;false;ch.bailu.aat;-296005542;android:id/content;false;false;[714:646:686:59, 714:706:55:103, 1345:706:55:103, 714:810:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1];true
e1191b56-5e57-305f-b582-2b6410f19898_94302779-3eb8-3a49-b459-37d526379ba9;android.widget.ListView;;;;0;disabled;false;714:420:686:450;714:420:686:450;[-296005542, -296005573];false;true;true;true;-1009851135;-257739200;false;false;false;false;ch.bailu.aat;-1751316537;;false;false;[714:646:686:59, 714:706:55:103, 1345:706:55:103, 714:810:686:60, 714:420:686:59, 714:480:55:103, 1345:480:55:103, 714:584:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1];true
