Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
0a9c22a2-4211-3aaf-8a6b-99f88b81fab6_996046fb-34fd-3877-a0db-c2a659dfc17a;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:2306;0:84:1440:2308;[-2073022423, 1483507213];false;true;true;disabled;-484335249;-287670243;false;false;false;false;ch.bailu.aat;85649997;;false;disabled;[0:2277:34:66, 1406:2277:34:66, 0:2344:1440:47, 0:2184:34:92, 1406:2184:34:92, 0:2032:34:66, 1406:2032:34:66, 0:2099:1440:49, 0:1939:34:92, 1406:1939:34:92, 0:1787:34:66, 1406:1787:34:66, 0:1854:1440:49, 0:1694:34:92, 1406:1694:34:92, 0:1542:34:66, 1406:1542:34:66, 0:1609:1440:49, 0:1449:34:92, 1406:1449:34:92, 0:1297:34:66, 1406:1297:34:66, 0:1364:1440:49, 0:1204:34:92, 1406:1204:34:92, 0:1052:34:66, 1406:1052:34:66, 0:1119:1440:49, 0:959:34:92, 1406:959:34:92, 0:807:34:66, 1406:807:34:66, 0:874:1440:49, 0:714:34:92, 1406:714:34:92, 0:562:34:66, 1406:562:34:66, 0:629:1440:49, 0:469:34:92, 1406:469:34:92, 1401:333:39:66, 1401:119:39:66, 1401:186:39:146, 1401:400:39:33, 1401:85:39:33, 0:333:349:66, 0:119:349:66, 0:186:349:146, 0:400:349:33, 0:85:349:33];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1];true
10831da4-25f4-3971-973a-81ff5ff4ac94_3e71e0af-3c7e-3409-8757-0e7c86e7132f;android.widget.LinearLayout;;;;0;disabled;false;0:434:1440:1957;0:434:1440:1958;[2130490306, 2130490275, 2130490244, 2130490213, 2130490182, 2130490151, 2130490120, 2130490089];false;true;true;disabled;-1009082349;1346325998;false;false;false;false;ch.bailu.aat;-2073022423;;false;disabled;[0:2277:34:66, 1406:2277:34:66, 0:2344:1440:47, 0:2184:34:92, 1406:2184:34:92, 0:2032:34:66, 1406:2032:34:66, 0:2099:1440:49, 0:1939:34:92, 1406:1939:34:92, 0:1787:34:66, 1406:1787:34:66, 0:1854:1440:49, 0:1694:34:92, 1406:1694:34:92, 0:1542:34:66, 1406:1542:34:66, 0:1609:1440:49, 0:1449:34:92, 1406:1449:34:92, 0:1297:34:66, 1406:1297:34:66, 0:1364:1440:49, 0:1204:34:92, 1406:1204:34:92, 0:1052:34:66, 1406:1052:34:66, 0:1119:1440:49, 0:959:34:92, 1406:959:34:92, 0:807:34:66, 1406:807:34:66, 0:874:1440:49, 0:714:34:92, 1406:714:34:92, 0:562:34:66, 1406:562:34:66, 0:629:1440:49, 0:469:34:92, 1406:469:34:92];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ScrollView[2]/android.widget.LinearLayout[1];true
113590b3-07eb-3092-90a8-c3cfecf8042a_f1201371-cebd-3c80-8c76-71f9da4c78ff;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:348;0:84:1440:350;[-715938392];false;true;true;disabled;1483507213;-166324315;false;false;false;false;ch.bailu.aat;-484335249;;false;disabled;[1401:333:39:66, 1401:119:39:66, 1401:186:39:146, 1401:400:39:33, 1401:85:39:33, 0:333:349:66, 0:119:349:66, 0:186:349:146, 0:400:349:33, 0:85:349:33];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1];true
11648e4e-66e7-3d6a-86cb-7f1d0cf604fe_0625721d-1d40-301d-ac07-00de15f54f2d;android.widget.TextView;GPS;;;0;disabled;true;700:119:349:66;700:119:350:66;[];false;true;true;disabled;2122600191;1522878394;false;false;false;false;ch.bailu.aat;2020180602;;false;false;[700:119:349:66];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1]/android.widget.LinearLayout[1]/android.view.ViewGroup[3]/android.widget.TextView[1];false
12da3856-b925-3040-8864-b2c11ec9b95b_4e2f5a94-8f5d-3c99-869f-1766be5eba52;android.widget.TextView;;;;0;disabled;true;35:2277:1370:66;35:2277:1370:66;[];false;true;true;disabled;-1320906538;1844135868;false;false;false;false;ch.bailu.aat;2130490306;;false;false;[35:2277:1370:66];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ScrollView[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[8]/android.widget.TextView[2];false
13e4e6e4-e935-3c09-a746-c9d133b929cf_fefbc0bf-7c2b-3391-9591-261ab4f8ace7;android.view.View;;;;0;disabled;true;350:85:349:348;350:84:350:350;[];false;true;true;disabled;746308210;-314780317;false;false;false;false;ch.bailu.aat;-1279771980;;false;false;[350:333:349:66, 350:119:349:66, 350:186:349:146, 350:400:349:33, 350:85:349:33];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1]/android.widget.LinearLayout[1]/android.view.View[2];false
1ad40f4a-bc29-3dc5-bacd-116bdb8566a9_69b6989e-3344-301f-a005-e9e570d80fd4;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:2306;0:0:1440:2392;[85649997];false;true;true;disabled;1961655169;-287670243;false;false;false;false;ch.bailu.aat;1785170555;;false;disabled;[0:2277:34:66, 1406:2277:34:66, 0:2344:1440:47, 0:2184:34:92, 1406:2184:34:92, 0:2032:34:66, 1406:2032:34:66, 0:2099:1440:49, 0:1939:34:92, 1406:1939:34:92, 0:1787:34:66, 1406:1787:34:66, 0:1854:1440:49, 0:1694:34:92, 1406:1694:34:92, 0:1542:34:66, 1406:1542:34:66, 0:1609:1440:49, 0:1449:34:92, 1406:1449:34:92, 0:1297:34:66, 1406:1297:34:66, 0:1364:1440:49, 0:1204:34:92, 1406:1204:34:92, 0:1052:34:66, 1406:1052:34:66, 0:1119:1440:49, 0:959:34:92, 1406:959:34:92, 0:807:34:66, 1406:807:34:66, 0:874:1440:49, 0:714:34:92, 1406:714:34:92, 0:562:34:66, 1406:562:34:66, 0:629:1440:49, 0:469:34:92, 1406:469:34:92, 1401:333:39:66, 1401:119:39:66, 1401:186:39:146, 1401:400:39:33, 1401:85:39:33, 0:333:349:66, 0:119:349:66, 0:186:349:146, 0:400:349:33, 0:85:349:33];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1];true
1ce027fe-3518-3c64-af35-70b50a9a7c10_efd4e1d6-c1e5-346f-9aeb-4d014a0ea614;android.widget.TextView;Preferences;;;0;disabled;true;35:1939:1370:92;35:1939:1370:93;[];false;true;true;disabled;-2014008266;-1361335332;false;false;false;false;ch.bailu.aat;2130490275;;false;false;[35:1939:1370:92];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ScrollView[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[7]/android.widget.TextView[1];false
1d78dc8e-d512-34e5-98b5-114fe24490ae_503eea58-8170-350c-9789-b03b7d815aeb;android.widget.TextView;Map;;;0;disabled;true;35:1204:1370:92;35:1204:1370:93;[];false;true;true;disabled;201653939;-1598468285;false;false;false;false;ch.bailu.aat;2130490182;;false;false;[35:1204:1370:92];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ScrollView[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[4]/android.widget.TextView[1];false
20a83dfd-7819-382d-b780-f4696d74586e_3679122f-6ac6-36d0-93ac-cbfd91a65815;android.widget.TextView;Cockpit B;;;0;disabled;true;35:959:1370:92;35:959:1370:93;[];false;true;true;disabled;-491447758;2025955859;false;false;false;false;ch.bailu.aat;2130490151;;false;false;[35:959:1370:92];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ScrollView[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[3]/android.widget.TextView[1];false
