Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
05afb6ce-69b9-3ef1-bd6e-ce7e4745f96c_32d61c86-6566-3776-9dcd-6e0f7d9a97aa;android.widget.Button;DENY;;;0;disabled;true;698:1273:223:168;698:1273:224:168;[];true;true;true;false;929316445;582823062;false;false;false;false;com.google.android.packageinstaller;2134871580;com.android.packageinstaller:id/permission_deny_button;false;false;[698:1273:223:168];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.Button[1];false
23d90c04-a48a-3424-9cf4-1b05cd7e42f9_afe51944-24a7-3396-b816-f2dd923539f4;android.widget.LinearLayout;;;;0;disabled;false;216:1021:952:434;216:1021:1008:434;[128136765, 1376126346];false;true;true;disabled;-1948979330;-1548079202;false;false;false;false;com.google.android.packageinstaller;-1823677922;com.android.packageinstaller:id/dialog_container;false;false;[216:1259:69:13, 216:1442:69:13, 216:1324:69:66, 216:1273:69:50, 216:1391:69:50, 216:1021:952:62, 216:1084:69:126, 216:1211:69:47];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1];true
4205ae6d-d5ef-3575-b155-fdd42f0d389d_b390f007-8f8a-3538-8e20-4f0410e872c3;android.widget.LinearLayout;;;;0;disabled;true;216:1259:952:196;216:1259:1008:196;[1603000191];false;true;true;disabled;128136765;1959648524;false;false;false;false;com.google.android.packageinstaller;-1948979330;;false;false;[216:1259:69:13, 216:1442:69:13, 216:1324:69:66, 216:1273:69:50, 216:1391:69:50];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2];true
45f0c21b-944b-3c22-87e1-a2dfecffd80e_ea021544-ff43-3e3f-a972-521034a5871b;android.widget.FrameLayout;;;;0;disabled;true;216:1021:952:237;216:1021:1008:238;[1125277330];false;true;true;disabled;1376126346;1713952915;false;false;false;false;com.google.android.packageinstaller;-1948979330;com.android.packageinstaller:id/desc_container;false;false;[216:1021:952:62, 216:1084:69:126, 216:1211:69:47];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1];true
5b89e8d4-a213-328b-9235-0cfbc956533d_d2be0acf-3225-3170-86fd-ef16363c351f;android.widget.LinearLayout;;;;0;disabled;true;286:1259:882:196;286:1259:882:196;[2134871580, 2134871549];false;true;true;disabled;1603000191;-730648752;false;false;false;false;com.google.android.packageinstaller;128136765;;false;false;[286:1259:882:13, 286:1442:882:13, 286:1324:20:66, 286:1273:20:50, 286:1391:20:50];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1];true
5c4c8619-b6f4-34b8-af68-0da6fd7fa6d2_4f0bd8df-9830-36f5-9fe9-6e9fc1f65585;android.widget.ScrollView;;;;0;disabled;false;216:1021:952:434;216:1021:1008:434;[-1948979330];false;true;true;false;-1823677922;-1548079202;false;false;false;false;com.google.android.packageinstaller;759789275;;false;false;[216:1259:69:13, 216:1442:69:13, 216:1324:69:66, 216:1273:69:50, 216:1391:69:50, 216:1021:952:62, 216:1084:69:126, 216:1211:69:47];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1];true
6b0e8b00-5044-376a-aab0-1f0ce054f2e4_5bbc9d9e-50d1-3ce4-87f1-f59ade256ef1;android.view.ViewGroup;;;;0;disabled;true;160:85:1008:2194;160:84:1120:2307;[-1823677922];false;true;true;disabled;759789275;439691416;false;false;false;false;com.google.android.packageinstaller;1492465683;;false;false;[160:1456:1008:823, 160:1259:55:13, 160:1442:55:13, 160:1324:55:66, 160:1273:55:50, 160:1391:55:50, 160:85:1008:935, 160:1021:55:62, 160:1084:55:126, 160:1211:55:47];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1];true
86dc9ebf-51c1-3a7c-8b69-73420e493333_0a05cb25-5175-3cfb-8f3f-13ff6382d58e;android.widget.TextView;Allow AAT to access this device's location?;;;0;disabled;true;412:1084:756:174;412:1084:756:175;[];false;true;true;disabled;-2134203386;636469624;false;false;false;false;com.google.android.packageinstaller;1125277330;com.android.packageinstaller:id/permission_message;false;false;[412:1084:756:174];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.TextView[2];false
8bf8854b-ebe1-3818-bcae-b845c7676ae4_6288d3d6-bc6b-3e17-b468-f0bf58f42ed4;android.widget.TextView;1 of 2;;;0;disabled;true;307:1324:166:66;307:1324:167:66;[];false;true;true;disabled;406202780;1927149888;false;false;false;false;com.google.android.packageinstaller;2134871549;com.android.packageinstaller:id/current_page_text;false;false;[307:1324:166:66];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.TextView[1];false
97f894a0-f856-3a3e-a9f6-c437f8f055b9_5d94caab-e051-385c-aad2-dbe1caa53fe1;android.widget.FrameLayout;;;;0;disabled;false;160:85:1008:2194;160:84:1120:2307;[1492465683];false;true;true;disabled;-1751316537;439691416;false;false;false;false;com.google.android.packageinstaller;1785170555;;false;false;[160:1456:1008:823, 160:1259:55:13, 160:1442:55:13, 160:1324:55:66, 160:1273:55:50, 160:1391:55:50, 160:85:1008:935, 160:1021:55:62, 160:1084:55:126, 160:1211:55:47];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1];true
