Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
098f6bcd-4621-3373-8ade-4e832627b4f6_965ea781-dfbb-3ac1-808c-fb5e2a5dfb15;android.widget.CheckedTextView;2.0 test;;;0;false;true;215:1670:1017:223;215:1670:1017:223;[];true;true;true;disabled;263725436;-1347495558;false;false;false;false;ch.bailu.aat;961567862;android:id/text1;false;false;[215:1670:1017:223];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1]/android.widget.CheckedTextView[5];false
2fbdc0d2-cd18-3c07-934c-59849d0c2a2e_ec14efee-8f7c-3326-8518-25a7e500acdb;android.widget.CheckedTextView;6.0 hiking, cross country;;;0;false;true;215:1444:1017:224;215:1444:1017:224;[];true;true;true;disabled;263725405;258763053;false;false;false;false;ch.bailu.aat;961567862;android:id/text1;false;false;[215:1444:1017:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1]/android.widget.CheckedTextView[4];false
4b8d8a93-ec76-34a4-9fde-df11543b8b54_c3ae6503-034b-30f1-b7c2-e0fef6f74710;android.widget.FrameLayout;;;;0;disabled;false;160:518:1120:1440;160:518:1120:1440;[1492465683];false;true;true;disabled;-1751316537;-1957261399;false;false;false;false;ch.bailu.aat;1785170555;;false;disabled;[160:1670:10:223, 1277:1670:3:223, 160:1894:10:53, 1277:1894:3:53, 160:1948:1120:10, 160:1444:10:224, 1277:1444:3:224, 160:1218:10:224, 1277:1218:3:224, 160:992:10:224, 1277:992:3:224, 160:766:10:224, 1277:766:3:224, 160:762:10:3, 1277:762:3:3, 160:518:1120:31, 160:550:10:55, 1277:550:3:55, 160:606:10:124, 1277:606:3:124, 160:731:10:30, 1277:731:3:30];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1];true
5c596108-eb23-34d3-b7ba-2855059dba65_596d2e39-3521-36b7-accb-497cf6dee06b;android.widget.LinearLayout;;;;0;disabled;false;250:606:947:124;250:606:947:124;[1923481200];false;true;true;disabled;-1054782039;1888207461;false;false;false;false;ch.bailu.aat;-1769054893;android:id/title_template;false;false;[250:606:947:124];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1];true
62b3b1be-7650-327f-9c7e-cdddb36d026c_faf0bb95-1dfa-3340-9334-4bfdf57c2f20;android.widget.ListView;;;;0;disabled;false;215:766:1017:1127;215:766:1017:1127;[263725436, 263725405, 263725374, 263725343, 263725312];false;true;true;true;961567862;-2121764994;false;false;false;false;ch.bailu.aat;-1769054862;android:id/select_dialog_listview;false;false;[215:1670:1017:223, 215:1444:1017:224, 215:1218:1017:224, 215:992:1017:224, 215:766:1017:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1];true
69a25602-5f66-34ce-9d15-c9dd7225d357_5b22c09f-99b1-3a09-9ce6-98e588725bea;android.widget.TextView;Activity;;;0;disabled;true;250:606:947:124;250:606:947:124;[];false;true;true;disabled;1923481200;1888207461;false;false;false;false;ch.bailu.aat;-1054782039;android:id/alertTitle;false;false;[250:606:947:124];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.TextView[1];false
81cea8a0-35a5-303c-9b12-44c2f9095713_c4263892-bfe5-3ae7-9eee-4d9221844842;android.widget.FrameLayout;;;;0;disabled;false;160:518:1120:1440;160:518:1120:1440;[-1751316537];false;true;true;disabled;1785170555;-1957261399;false;false;false;false;ch.bailu.aat;0;;false;disabled;[160:1670:10:223, 1277:1670:3:223, 160:1894:10:53, 1277:1894:3:53, 160:1948:1120:10, 160:1444:10:224, 1277:1444:3:224, 160:1218:10:224, 1277:1218:3:224, 160:992:10:224, 1277:992:3:224, 160:766:10:224, 1277:766:3:224, 160:762:10:3, 1277:762:3:3, 160:518:1120:31, 160:550:10:55, 1277:550:3:55, 160:606:10:124, 1277:606:3:124, 160:731:10:30, 1277:731:3:30];//android.widget.FrameLayout[1];true
8562eafb-ef36-3cc5-9957-a321835a98d2_30caa829-3f7b-3131-af2f-a85363a91ae9;android.widget.CheckedTextView;7.0 jogging, general;;;0;false;true;215:1218:1017:224;215:1218:1017:224;[];true;true;true;disabled;263725374;-348146964;false;false;false;false;ch.bailu.aat;961567862;android:id/text1;false;false;[215:1218:1017:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1]/android.widget.CheckedTextView[3];false
93ef6c8e-6b95-3538-b255-b7d763b754cb_9955e16a-2679-3756-8099-a1f408dd452e;android.widget.LinearLayout;;;;0;disabled;true;171:550:1105:215;171:550:1105:216;[-1494805451, -1054782039];false;true;true;disabled;-1769054893;-412313722;false;false;false;false;ch.bailu.aat;1821317865;android:id/topPanel;false;false;[171:762:43:3, 1233:762:43:3, 171:550:1105:55, 171:606:78:124, 1198:606:78:124, 171:731:1105:30];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1];true
a1dbbb30-c492-314f-bbf4-2dfc8641a618_799945ce-07cf-3372-bd71-b2d906fcb1c5;android.widget.LinearLayout;;;;0;disabled;true;171:766:1105:1181;171:766:1105:1181;[961567862];false;true;true;disabled;-1769054862;-2136915422;false;false;false;false;ch.bailu.aat;1821317865;android:id/contentPanel;false;false;[171:1670:43:223, 1233:1670:43:223, 171:1894:1105:53, 171:1444:43:224, 1233:1444:43:224, 171:1218:43:224, 1233:1218:43:224, 171:992:43:224, 1233:992:43:224, 171:766:43:224, 1233:766:43:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2];true
