Source State,Action,Interacted Widget,Resulting State,StartTime,EndTime,SuccessFul,Exception,Data,Action-Id
d41d8cd9-8f00-3204-a980-0998ecf8427e_d41d8cd9-8f00-3204-a980-0998ecf8427e,ActionQueue-START,null,79b0bad6-ac40-585b-4f13-37960a3868d5_cba96ae1-976c-a587-a10b-e7a0f564b601,2019-10-28T11:35:05.047,2019-10-28T11:35:22.865,true,,,5
d41d8cd9-8f00-3204-a980-0998ecf8427e_d41d8cd9-8f00-3204-a980-0998ecf8427e,LaunchApp,null,79b0bad6-ac40-585b-4f13-37960a3868d5_cba96ae1-976c-a587-a10b-e7a0f564b601,2019-10-28T11:35:05.047,2019-10-28T11:35:22.865,true,,,2
d41d8cd9-8f00-3204-a980-0998ecf8427e_d41d8cd9-8f00-3204-a980-0998ecf8427e,EnableWifi,null,79b0bad6-ac40-585b-4f13-37960a3868d5_cba96ae1-976c-a587-a10b-e7a0f564b601,2019-10-28T11:35:05.047,2019-10-28T11:35:22.865,true,,,3
d41d8cd9-8f00-3204-a980-0998ecf8427e_d41d8cd9-8f00-3204-a980-0998ecf8427e,CloseKeyboard,null,79b0bad6-ac40-585b-4f13-37960a3868d5_cba96ae1-976c-a587-a10b-e7a0f564b601,2019-10-28T11:35:05.047,2019-10-28T11:35:22.865,true,,,4
d41d8cd9-8f00-3204-a980-0998ecf8427e_d41d8cd9-8f00-3204-a980-0998ecf8427e,ActionQueue-End,null,79b0bad6-ac40-585b-4f13-37960a3868d5_cba96ae1-976c-a587-a10b-e7a0f564b601,2019-10-28T11:35:05.047,2019-10-28T11:35:22.865,true,,,5
79b0bad6-ac40-585b-4f13-37960a3868d5_cba96ae1-976c-a587-a10b-e7a0f564b601,Click,b394126a-0e52-375f-9e3d-535d0fb0d33c_7c8d0473-81b7-3f8f-8f5d-efbdee69e8e8,b34c1864-2641-5436-88ae-9523843964b0_954b13e9-5a96-a617-6aad-90a8b88eb691,2019-10-28T11:35:23.320,2019-10-28T11:35:25.550,true,,,7
b34c1864-2641-5436-88ae-9523843964b0_954b13e9-5a96-a617-6aad-90a8b88eb691,Click,b394126a-0e52-375f-9e3d-535d0fb0d33c_7c8d0473-81b7-3f8f-8f5d-efbdee69e8e8,9a44c26d-4705-35fc-6fa7-3f2ca4fd4676_8e805001-155f-bcc4-63e2-ccc07357cd3e,2019-10-28T11:35:25.574,2019-10-28T11:35:30.525,true,,,8
9a44c26d-4705-35fc-6fa7-3f2ca4fd4676_8e805001-155f-bcc4-63e2-ccc07357cd3e,ClickEvent,7e014d8a-fab7-34f2-8516-514ca309fa3c_1fb7ba78-4bd0-339b-befa-03c96412df5f,cbd777e0-27d8-ba1c-a139-f49f85d0ca96_04facfa2-4def-a198-da5d-4c61abe7b212,2019-10-28T11:35:30.673,2019-10-28T11:35:32.848,true,,,9
cbd777e0-27d8-ba1c-a139-f49f85d0ca96_04facfa2-4def-a198-da5d-4c61abe7b212,ClickEvent,8562eafb-ef36-3cc5-9957-a321835a98d2_30caa829-3f7b-3131-af2f-a85363a91ae9,45e91e62-b7e3-3791-1b4b-9b2215db480b_7d368734-1ffb-a770-5299-03f37df3b7ea,2019-10-28T11:35:32.876,2019-10-28T11:35:35.832,true,,,10
45e91e62-b7e3-3791-1b4b-9b2215db480b_7d368734-1ffb-a770-5299-03f37df3b7ea,ClickEvent,87929010-dd3b-3586-856c-523d9b98e7c2_d6e01d8f-2d01-3dd3-9a3f-0d696764ac15,01d6db8b-5de1-e7b8-d739-584abbd9f832_cee5a10e-e8fb-87a6-a448-1dce46f39820,2019-10-28T11:35:35.857,2019-10-28T11:35:38.566,true,,,12
