Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
0a9c22a2-4211-3aaf-8a6b-99f88b81fab6_474498d8-0e05-39dd-a5d5-1e6fa7326b1a;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:2306;0:84:1440:2308;[-243882666, 1483507213];false;true;true;disabled;-484335249;-1760897952;false;false;false;false;ch.bailu.aat;85649997;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1];true
113590b3-07eb-3092-90a8-c3cfecf8042a_114ef410-c820-338c-a965-e84def5a3d1f;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:348;0:84:1440:350;[-715938392];false;true;true;disabled;1483507213;-697799512;false;false;false;false;ch.bailu.aat;-484335249;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1];true
1ad40f4a-bc29-3dc5-bacd-116bdb8566a9_1b2121ff-0d46-32e4-814c-c2be8ad8a900;android.widget.LinearLayout;;;;0;disabled;false;0:85:1440:2306;0:0:1440:2392;[85649997];false;true;true;disabled;1961655169;-1760897952;false;false;false;false;ch.bailu.aat;1785170555;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1];true
3ac6aeb1-d656-3935-bdb3-d5201a02d39e_b9afd1f1-99a5-3ee4-b0c9-f42814ff4d35;android.widget.TextView;README<newline><newline>Map Tiles<newline><newline>AAT does not automatically remove downloaded map tiles. This is to...<newline><newline><newline>-reduce network traffic as much as possible. <newline>-reduce battery drain. <newline>-speed up the map view. <newline><newline>This means that you have to remove old tiles manually from time to time. Go to Settings->Map Tiles to remove old map tiles.<newline><newline>Offline Maps<newline><newline>Download and store maps:<newline><newline><newline>-Download maps and render themes from one of these map providers: <newline>OpenAndroMaps,Freizeitkarte or Mapsforge <newline>-Store extracted maps in the directory maps or in one of its subdirectories. <newline>Example: maps/OAM/ contains Alps.map <newline>-Store extracted themes in a subdirectory of the directory containing the corresponding maps. <newline>Example: maps/OAM/OAM/ contains andromaps_cycle.xml, symbols/, patterns/ and other files. <newline><newline>Enable offline maps<newline><newline><newline>-Inside AAT open the map settings dialog. (Settings->Map Tiles). <newline>-Select the directory that contains the map files (In this example maps/OAM/ will be listed). <newline>-Select a render theme. <newline>-Disable Mapnik and enable Mapsforge in Menu->Map. <newline><newline>Where to find files?<newline><newline>AAT let's you create and view files in GPX format. This files are exchangeable with many other applications. They can also be edited in a text editor. These and other files are stored in subdirectories of the data directory. You can choose the location of the data directory from the settings. The structure of the data directory is as follows: <newline><newline><newline>-aat_data/activity[0-4] - tracked activities <newline>-aat_data/log - activity that gets tracked at the moment <newline>-aat_data/nominatim - search result from OpenStreetMap Nominatim <newline>-aat_data/osm_features - OSM Features original file and parsed files <newline>-aat_data/overlay - overlays such as planned tracks or search results <newline>-aat_data/overpass - queries from the OSM Overpass server <newline>-aat_data/dem3 - cached Digital elevation data from the Shuttle Radar Topography Mission and other sources <newline><newline>Overpass<newline><newline>Overview<newline><newline>AAT lets you query the Overpass API. Any result of a query can be saved to aat_data/overlay. It then can be displayed as an overlay inside the map-view whenever needed.<newline><newline>Example<newline><newline>[amenity=restaurant] will get you list of all restaurants located inside the area that was visible on the map-view before opening the Overpass dialog. <newline><newline>Calculating calories<newline><newline>AAT uses the formula hours * MET * weight to calculate the kcal used for a specific activity. MET stands for metabolic equivalent. The higher the value, the more energy you would use for this specific activity. A complete list of activities and MET values can be found here.<newline><newline>Both MET and weight can be provided in the settings dialog. The MET value is leading the activity's name. For example: 6.8 bicycling, leisure, moderate effort<newline><newline>Issues and feedback<newline><newline>For questions, feedback and bugreports report an issue or send an e-mail to aat@bailu.ch;;;0;disabled;true;0:434:1440:1957;0:434:1440:1958;[];true;true;true;false;-994840928;1663290670;false;false;false;true;ch.bailu.aat;1071463289;;false;false;[0:434:1440:1957];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.view.ViewGroup[2]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.TextView[1];false
4b633395-79ae-304c-b8e3-0ce632be015b_5b8ef1cf-58ef-3fec-97df-a7059e01fdbf;android.widget.HorizontalScrollView;;;;0;disabled;false;0:85:1400:348;0:84:1400:350;[-1279771980];false;true;true;false;-715938392;418892572;false;false;false;false;ch.bailu.aat;1483507213;;false;disabled;[0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1];true
50acdfef-d0f5-3008-8296-d792a1ff1b25_c7b9c2a5-2afd-330a-ad3a-755dbd221395;android.view.View;;;;0;disabled;true;0:0:0:0;0:0:1440:84;[];false;false;true;disabled;-1615338229;0;false;false;false;false;ch.bailu.aat;1785170555;android:id/statusBarBackground;false;disabled;[];//android.widget.FrameLayout[1]/android.view.View[2];false
67cb2689-e671-30ba-935e-ff1011588c9f_5e7f145b-91fe-3157-920f-9c934ffc7352;android.widget.ImageButton;;;;0;disabled;true;350:85:349:348;350:84:350:350;[];true;true;true;false;951669033;-723426459;false;false;false;false;ch.bailu.aat;-1279771980;;false;false;[350:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1]/android.widget.LinearLayout[1]/android.widget.ImageButton[2];false
81cea8a0-35a5-303c-9b12-44c2f9095713_c7efda17-7867-3a00-b180-05eee08cbffb;android.widget.FrameLayout;;;;0;disabled;false;0:85:1440:2306;0:0:1440:2392;[-1615338229, 1961655169];false;true;true;disabled;1785170555;-1760897952;false;false;false;false;ch.bailu.aat;0;;false;disabled;[1401:85:39:348, 0:85:349:348];//android.widget.FrameLayout[1];true
930ee59e-d508-3488-8715-17b61b569462_6dafda05-d960-300a-8983-738b70835f95;android.widget.ImageButton;;;;0;disabled;false;0:85:349:348;0:84:350:350;[];false;true;true;false;484358802;622606202;false;false;false;false;ch.bailu.aat;2020180540;;false;disabled;[0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1]/android.widget.LinearLayout[1]/android.view.ViewGroup[1]/android.widget.ImageButton[1];false
b69b4142-fcac-390d-9bbf-39f009a3be19_b36ab85b-2652-334c-9a7f-4c9b255028da;android.widget.ScrollView;;;;0;disabled;false;0:434:1440:1957;0:434:1440:1958;[1071463289];false;true;true;false;-737351293;1663290670;false;false;false;false;ch.bailu.aat;-243882666;;true;false;[0:434:1440:1957];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.view.ViewGroup[2]/android.widget.ScrollView[1];true
bd48a179-e2db-345a-97a7-3336eb2a635b_4616b388-7677-357e-8434-9515ed51e927;android.widget.LinearLayout;;;;0;disabled;false;0:85:1400:348;0:84:1400:350;[951669095, 951669064, 951669033, 2020180540];false;true;true;disabled;-1279771980;418892572;false;false;false;false;ch.bailu.aat;-715938392;;false;disabled;[0:85:349:348];//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.HorizontalScrollView[1]/android.widget.LinearLayout[1];true
