Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
0f2989c9-c125-3fd7-a8f8-e5d9b1d73505_7d85f2d9-c9c4-3a07-8aa9-0354ce62a8b8;android.widget.TextView;Backlight;;;0;disabled;true;70:1610:574:103;70:1610:574:103;[];false;true;true;disabled;1090379978;-2062380422;false;false;false;false;ch.bailu.aat;-1680086129;android:id/title;false;false;[70:1610:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[6]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.TextView[1];false
141307c3-22b3-3d54-8309-51e0e05989ef_e59cdfa6-d1f7-3cd1-a829-5889408e913b;android.widget.LinearLayout;;;;0;disabled;false;14:1550:686:224;14:1550:686:224;[-316233274];true;true;true;disabled;-296005418;-1442776188;false;false;false;false;ch.bailu.aat;-1009851135;;false;false;[14:1550:686:59, 14:1610:55:103, 645:1610:55:103, 14:1714:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[6];true
1d78dc8e-d512-34e5-98b5-114fe24490ae_bf965026-6ff3-303f-8589-eb4afc0f9d92;android.widget.TextView;Map;;;0;disabled;true;70:1158:574:103;70:1158:574:103;[];false;true;true;disabled;1973888968;-9897892;false;false;false;false;ch.bailu.aat;-948118703;android:id/title;false;false;[70:1158:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[4]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.TextView[1];false
24a053e7-5713-3a6d-864a-173131843169_c90e0da8-555f-3aaf-9a67-de81c6834d64;android.widget.LinearLayout;;;;0;disabled;false;14:420:686:224;14:420:686:224;[2012216769];true;true;true;disabled;-296005573;-858547549;false;false;false;false;ch.bailu.aat;-1009851135;;false;false;[14:420:686:59, 14:480:55:103, 645:480:55:103, 14:584:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1];true
2c82cfd7-fb55-3c92-b841-660cdc491985_764baa4c-31ce-34a7-aa58-ea82e3826a24;android.widget.RelativeLayout;;;;0;disabled;false;70:706:574:103;70:706:574:103;[-1437569338];false;true;true;disabled;-216151277;-1994143105;false;false;false;false;ch.bailu.aat;-171460158;;false;false;[70:706:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1];true
443acb7e-721f-3b6f-9f64-58a805798e5f_3f3d3dbc-68f3-3827-a084-299339eb6d6c;android.widget.RelativeLayout;;;;0;disabled;false;70:932:574:103;70:932:574:103;[-1879323833];false;true;true;disabled;1565348658;339668147;false;false;false;false;ch.bailu.aat;1939830211;;false;false;[70:932:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[3]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1];true
4b8d8a93-ec76-34a4-9fde-df11543b8b54_f46ac17c-afa2-3d69-a52f-d7e38e464cc4;android.widget.FrameLayout;;;;0;disabled;false;0:399:714:1396;0:399:714:1396;[-1009851135];false;true;true;disabled;-1751316537;-1124036519;false;false;false;false;ch.bailu.aat;1785170555;;false;disabled;[0:1550:13:59, 701:1550:13:59, 0:1610:13:103, 701:1610:13:103, 0:1714:13:60, 701:1714:13:60, 0:1775:714:20, 0:1324:13:59, 701:1324:13:59, 0:1384:13:103, 701:1384:13:103, 0:1488:13:60, 701:1488:13:60, 0:1098:13:59, 701:1098:13:59, 0:1158:13:103, 701:1158:13:103, 0:1262:13:60, 701:1262:13:60, 0:872:13:59, 701:872:13:59, 0:932:13:103, 701:932:13:103, 0:1036:13:60, 701:1036:13:60, 0:646:13:59, 701:646:13:59, 0:706:13:103, 701:706:13:103, 0:810:13:60, 701:810:13:60, 0:399:714:20, 0:420:13:59, 701:420:13:59, 0:480:13:103, 701:480:13:103, 0:584:13:60, 701:584:13:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1];true
51d66dfd-55d7-3898-8613-79924bdd579c_8d03c108-fd7b-3f91-8525-302bcf00c5e8;android.widget.LinearLayout;;;;0;disabled;false;14:872:686:224;14:872:686:224;[1939830211];true;true;true;disabled;-296005511;164878515;false;false;false;false;ch.bailu.aat;-1009851135;;false;false;[14:872:686:59, 14:932:55:103, 645:932:55:103, 14:1036:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[3];true
56451a35-9b7e-37b0-9d5d-c31e6eba1c1c_31e84b8e-4afb-3252-8b1a-cc4e48ea741d;android.widget.RelativeLayout;;;;0;disabled;false;70:480:574:103;70:480:574:103;[-995814843];false;true;true;disabled;-1997651212;-571314525;false;false;false;false;ch.bailu.aat;2012216769;;false;false;[70:480:574:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1];true
6c13aa63-7b46-37e9-980b-70e9ef36ec6e_ef856dc5-36a3-3ed6-9cdd-370d011cde80;android.widget.LinearLayout;;;;0;disabled;false;14:1324:686:224;14:1324:686:224;[1867443653];true;true;true;disabled;-296005449;1333000139;false;false;false;false;ch.bailu.aat;-1009851135;;false;false;[14:1324:686:59, 14:1384:55:103, 645:1384:55:103, 14:1488:686:60];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[5];true
