Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
177a5e2a-2dbb-3f12-8cce-7d3fa57138d4_c38bf77d-eb70-3372-9676-004dfc4776d4;android.widget.TextView;Use as overlay;;;0;disabled;true;453:729:744:103;453:729:744:103;[];false;true;true;disabled;1923481231;1385787565;false;false;false;false;ch.bailu.aat;-1054782039;android:id/alertTitle;false;false;[453:729:744:103];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.TextView[2];false
4b8d8a93-ec76-34a4-9fde-df11543b8b54_2cbb987b-1c9a-3210-b5d0-9bf4608cdfcb;android.widget.FrameLayout;;;;0;disabled;false;160:598:1120:1279;160:598:1120:1279;[1492465683];false;true;true;disabled;-1751316537;-625292169;false;false;false;false;ch.bailu.aat;1785170555;;false;disabled;[160:1589:10:223, 1277:1589:3:223, 160:1813:10:53, 1277:1813:3:53, 160:1867:1120:10, 160:1363:10:224, 1277:1363:3:224, 160:1137:10:224, 1277:1137:3:224, 160:911:10:224, 1277:911:3:224, 160:907:10:3, 1277:907:3:3, 1277:729:3:103, 160:598:1120:31, 160:630:10:55, 1277:630:3:55, 160:686:10:42, 160:729:10:103, 160:833:10:42, 160:876:10:30, 1277:876:3:30, 1277:686:3:42, 1277:833:3:42];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1];true
53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_4350257c-63be-3082-8914-423848783560;android.widget.CheckedTextView;0;;;0;true;true;215:1137:1017:224;215:1137:1017:224;[];true;true;true;disabled;263725343;-655755479;false;false;false;false;ch.bailu.aat;961567862;android:id/text1;false;false;[215:1137:1017:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1]/android.widget.CheckedTextView[2];false
53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_a304bcc5-f490-323a-8743-3fd8aa7b523e;android.widget.CheckedTextView;0;;;0;true;true;215:1363:1017:224;215:1363:1017:224;[];true;true;true;disabled;263725374;-655755479;false;false;false;false;ch.bailu.aat;961567862;android:id/text1;false;false;[215:1363:1017:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1]/android.widget.CheckedTextView[3];false
53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_bc7a7f11-acb9-3298-8a8a-3e4a733002a1;android.widget.CheckedTextView;0;;;0;false;true;215:1589:1017:223;215:1589:1017:223;[];true;true;true;disabled;263725405;997860411;false;false;false;false;ch.bailu.aat;961567862;android:id/text1;false;false;[215:1589:1017:223];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1]/android.widget.CheckedTextView[4];false
53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_c173cedd-5df9-320b-a57c-e56f4693969a;android.widget.CheckedTextView;0;;;0;false;true;215:911:1017:224;215:911:1017:224;[];true;true;true;disabled;263725312;1050921475;false;false;false;false;ch.bailu.aat;961567862;android:id/text1;false;false;[215:911:1017:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1]/android.widget.CheckedTextView[1];false
5c596108-eb23-34d3-b7ba-2855059dba65_22f28ad7-38f2-3427-a81a-ffd01f11f777;android.widget.LinearLayout;;;;0;disabled;true;250:686:947:189;250:686:947:189;[1923481231, -376912020];false;true;true;disabled;-1054782039;-630466298;false;false;false;false;ch.bailu.aat;-1769054893;android:id/title_template;false;false;[454:686:743:42, 454:833:743:42];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1];true
62b3b1be-7650-327f-9c7e-cdddb36d026c_af60e030-058c-3845-aa17-fb2aaf179481;android.widget.ListView;;;;0;disabled;false;215:911:1017:901;215:911:1017:901;[263725405, 263725374, 263725343, 263725312];false;true;true;true;961567862;576813081;false;false;false;false;ch.bailu.aat;-1769054862;android:id/select_dialog_listview;false;false;[215:1589:1017:223, 215:1363:1017:224, 215:1137:1017:224, 215:911:1017:224];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.ListView[1];true
7dfb6d4f-e395-3574-8644-82f04bfaf496_3645dff6-934d-3acf-b540-97001ff6105a;android.widget.ImageView;;;;0;disabled;true;250:686:203:189;250:686:203:189;[];false;true;true;disabled;-376912020;1526290622;false;false;false;false;ch.bailu.aat;-1054782039;android:id/icon;false;false;[250:686:203:42, 250:729:202:103, 250:833:203:42];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.ImageView[1];true
81cea8a0-35a5-303c-9b12-44c2f9095713_a6c27cfb-858c-382d-b5d5-0190adebfd30;android.widget.FrameLayout;;;;0;disabled;false;160:598:1120:1279;160:598:1120:1279;[-1751316537];false;true;true;disabled;1785170555;-625292169;false;false;false;false;ch.bailu.aat;0;;false;disabled;[160:1589:10:223, 1277:1589:3:223, 160:1813:10:53, 1277:1813:3:53, 160:1867:1120:10, 160:1363:10:224, 1277:1363:3:224, 160:1137:10:224, 1277:1137:3:224, 160:911:10:224, 1277:911:3:224, 160:907:10:3, 1277:907:3:3, 1277:729:3:103, 160:598:1120:31, 160:630:10:55, 1277:630:3:55, 160:686:10:42, 160:729:10:103, 160:833:10:42, 160:876:10:30, 1277:876:3:30, 1277:686:3:42, 1277:833:3:42];//android.widget.FrameLayout[1];true
