Unique Id;UI Class;Displayed Text;Hint Text;Alternative Text;Input-Type;Checkable;Covers Unique Area;Visible Boundaries;Defined Boundaries;Internal Child-Ids;Is Clickable;Can be Visible;Is Enabled;Focus;Internal Id;Image Id;Text Input-Field;Is Keyboard-Element;Password-Field;Is Long-Clickable;Package Name;Internal ParentId;Resource Id;Is Scrollable;Selected;Visible Areas;Xpath;Has Clickable Descendant
05afb6ce-69b9-3ef1-bd6e-ce7e4745f96c_32d61c86-6566-3776-9dcd-6e0f7d9a97aa;android.widget.Button;DENY;;;0;disabled;true;698:1273:223:168;698:1273:224:168;[];true;true;true;false;929316445;582823062;false;false;false;false;com.google.android.packageinstaller;2134871580;com.android.packageinstaller:id/permission_deny_button;false;false;[698:1273:223:168];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.Button[1];false
23d90c04-a48a-3424-9cf4-1b05cd7e42f9_c22d1ddd-14f2-34ae-b1be-2ac05796bf41;android.widget.LinearLayout;;;;0;disabled;false;216:939:952:516;216:939:1008:516;[128136765, 1376126346];false;true;true;disabled;-1948979330;1657964378;false;false;false;false;com.google.android.packageinstaller;-1823677922;com.android.packageinstaller:id/dialog_container;false;false;[216:1259:69:13, 216:1442:69:13, 216:1324:69:66, 216:1273:69:50, 216:1391:69:50, 216:939:952:62, 216:1002:69:126, 216:1129:69:129];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1];true
4205ae6d-d5ef-3575-b155-fdd42f0d389d_89b55e62-cf0c-3d9a-8090-b745704ebaa6;android.widget.LinearLayout;;;;0;disabled;true;216:1259:952:196;216:1259:1008:196;[1603000191];false;true;true;disabled;128136765;-1129410107;false;false;false;false;com.google.android.packageinstaller;-1948979330;;false;false;[216:1259:69:13, 216:1442:69:13, 216:1324:69:66, 216:1273:69:50, 216:1391:69:50];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2];true
45f0c21b-944b-3c22-87e1-a2dfecffd80e_14901ae0-06e0-38e2-a827-b00a2b87f669;android.widget.FrameLayout;;;;0;disabled;true;216:939:952:319;216:939:1008:320;[1125277330];false;true;true;disabled;1376126346;256705430;false;false;false;false;com.google.android.packageinstaller;-1948979330;com.android.packageinstaller:id/desc_container;false;false;[216:939:952:62, 216:1002:69:126, 216:1129:69:129];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1];true
5b89e8d4-a213-328b-9235-0cfbc956533d_852c3b22-7cb9-331c-8c2b-1a6866f1b116;android.widget.LinearLayout;;;;0;disabled;true;286:1259:882:196;286:1259:882:196;[2134871580, 2134871549];false;true;true;disabled;1603000191;-1006613978;false;false;false;false;com.google.android.packageinstaller;128136765;;false;false;[286:1259:882:13, 286:1442:882:13, 286:1324:20:66, 286:1273:20:50, 286:1391:20:50];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1];true
5c4c8619-b6f4-34b8-af68-0da6fd7fa6d2_42b5062f-e055-386d-b019-5f4420a0ed76;android.widget.ScrollView;;;;0;disabled;false;216:939:952:516;216:939:1008:516;[-1948979330];false;true;true;false;-1823677922;1657964378;false;false;false;false;com.google.android.packageinstaller;759789275;;false;false;[216:1259:69:13, 216:1442:69:13, 216:1324:69:66, 216:1273:69:50, 216:1391:69:50, 216:939:952:62, 216:1002:69:126, 216:1129:69:129];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1];true
6b0e8b00-5044-376a-aab0-1f0ce054f2e4_4c102ea7-8a70-3352-8da8-222a26b386e7;android.view.ViewGroup;;;;0;disabled;true;160:85:1008:2194;160:84:1120:2307;[-1823677922];false;true;true;disabled;759789275;-1503658795;false;false;false;false;com.google.android.packageinstaller;1492465683;;false;false;[160:1456:1008:823, 160:1259:55:13, 160:1442:55:13, 160:1324:55:66, 160:1273:55:50, 160:1391:55:50, 160:85:1008:853, 160:939:55:62, 160:1002:55:126, 160:1129:55:129];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1];true
8bf8854b-ebe1-3818-bcae-b845c7676ae4_077b651e-cc35-3348-8ae0-59ab1df1c917;android.widget.TextView;2 of 2;;;0;disabled;true;307:1324:166:66;307:1324:167:66;[];false;true;true;disabled;406202780;366624022;false;false;false;false;com.google.android.packageinstaller;2134871549;com.android.packageinstaller:id/current_page_text;false;false;[307:1324:166:66];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.TextView[1];false
97f894a0-f856-3a3e-a9f6-c437f8f055b9_e61913f3-d461-3a3d-ae8b-627f12021f1f;android.widget.FrameLayout;;;;0;disabled;false;160:85:1008:2194;160:84:1120:2307;[1492465683];false;true;true;disabled;-1751316537;-1503658795;false;false;false;false;com.google.android.packageinstaller;1785170555;;false;false;[160:1456:1008:823, 160:1259:55:13, 160:1442:55:13, 160:1324:55:66, 160:1273:55:50, 160:1391:55:50, 160:85:1008:853, 160:939:55:62, 160:1002:55:126, 160:1129:55:129];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1];true
ab336d04-682b-30d3-9621-c4c8cf0faffe_b34a87fb-47ed-3163-8e09-509ef28808ed;android.widget.LinearLayout;;;;0;disabled;true;286:1002:882:256;286:1002:882:257;[-2134203386, -1611083563];false;true;true;disabled;1125277330;-2012887698;false;false;false;false;com.google.android.packageinstaller;1376126346;com.android.packageinstaller:id/perm_desc_root;false;false;[286:1129:125:129];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1];true
b394126a-0e52-375f-9e3d-535d0fb0d33c_7c8d0473-81b7-3f8f-8f5d-efbdee69e8e8;android.widget.Button;ALLOW;;;0;disabled;true;922:1273:246:168;922:1273:246:168;[];true;true;true;false;929316476;-138909188;false;false;false;false;com.google.android.packageinstaller;2134871580;com.android.packageinstaller:id/permission_allow_button;false;false;[922:1273:246:168];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.Button[2];false
c077fc4c-cbc2-3657-b1ab-30c95943eb2b_df082654-a9d6-3e2c-9782-db96626b6e97;android.widget.TextView;Allow AAT to access photos, media, and files on your device?;;;0;disabled;true;412:1002:756:256;412:1002:756:257;[];false;true;true;disabled;-2134203386;1977291141;false;false;false;false;com.google.android.packageinstaller;1125277330;com.android.packageinstaller:id/permission_message;false;false;[412:1002:756:256];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.TextView[2];false
c4a4c15c-1be7-3042-ab10-d5c3752fb78c_1c74ad87-6cee-3361-ae18-bc81fa35d591;android.widget.LinearLayout;;;;0;disabled;true;474:1273:694:168;474:1273:694:168;[929316476, 929316445];false;true;true;disabled;2134871580;1826119825;false;false;false;false;com.google.android.packageinstaller;1603000191;com.android.packageinstaller:id/button_group;false;false;[474:1273:223:168];//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2];true
